old function name,guessed function name & purpose,notes on parameter values/types and internal variables
FUN_08000630,BadInstruction_Handler,"Purpose: A trap or handler for when the CPU encounters an unknown/bad instruction. This is likely a default interrupt vector."
FUN_0800ac7c,GPS_Parse_NMEA_Coordinate,"Purpose: Parses an NMEA coordinate string (like $GPRMC) into a data structure.","param_1: (char*) NMEA string. param_2: (struct*) struct to fill. Notes: Identifies N/S (0x4E/0x53) and E/W (0x45/0x57) and converts DDMM.MMMM format."
FUN_0800b024,Modem_Scramble_Data,"Purpose: Scrambles/whitens a 7-byte block of data, likely for GMSK/FSK modulation.","param_1: (byte*) input buffer. param_2: (byte*) output buffer. Notes: Uses a complex bit-shifting and XOR feedback algorithm."
FUN_0800b368,DAC_ChannelGate,"Purpose: Sets or clears enable bits in the DAC control register at 0x40007400. CONFIRMED.","param_1: bit index (channel/trigger); param_2: 1 enable, 0 disable."
FUN_0800b388,DAC_BufferGate,"Purpose: Controls the DAC buffer/trigger configuration bits prior to playback.","param_1: bit index (buffer flag); param_2: 1 set, 0 clear."
FUN_0800b3a8,DAC_WaveformWrite,"Purpose: Loads a combined waveform/control word into the DAC waveform register block.","param_1: shift amount; param_2: pointer to packed control words."
FUN_0800b62c,RF_Set_Frequency_Synthesizer,"Purpose: Sets the frequency of the RF synthesizer by writing to a peripheral's registers.","param_1: (uint) Frequency value. param_2: (int) Mode. param_3: (int) Flag. Notes: Writes to registers 0x51, 0x07, 0x08 of an external peripheral."
FUN_0800b7a6,Util_Delay_ms,"Purpose: A blocking delay function, likely in milliseconds.","param_1: (uint) Number of milliseconds to delay. Notes: Calls a nested spin-wait loop (FUN_0800b7c2)."
FUN_0800b7c2,Util_Delay_us,"Purpose: Microsecond delay function used for SPI timing.","param_1: (uint) Number of microseconds to delay."
FUN_0800bd58,ToneMenu_ShowEntry,"Purpose: Formats and renders the currently selected CTCSS/DCS tone or 'OFF' entry on the LCD.","param_1: column slot (RX/TX/etc.); param_2: tone index (0xFFFF => OFF); param_3: tone category. Calls ToneGraphic_Draw to highlight the active selection."
FUN_0800cfd4,ToneGraphic_Draw,"Purpose: Draws the tone bargraph/selection cursor and incorporates the tone palette for the current menu context.","param_1: context (0=receive,1=transmit,2=dual); param_2: number of highlighted cells; param_3: palette id; param_4: non-zero to flush LCD."
FUN_0800dca0,AudioDMA_Trigger,"Purpose: Arms DMA2 with a new sample buffer targeting DAC1 for tone or AFSK playback. CONFIRMED.","Writes length and buffer pointer into DMA2 registers (base 0x40020430) before re-enabling the channel."
FUN_0800e214,Encoder_Reset,"Purpose: Resets encoder state and clears pending flags.","Called when encoder lock is released or mode changes."
FUN_0800e2e0,Encoder_HandleQuadrature,"Purpose: State machine for the front-panel rotary encoder on PB4/PB5. CONFIRMED from Ghidra.","Debounce counter = 200 ticks. Phase A first = CW (0x14), Phase B first = CCW (0x16). Reads GPIO masks 0x10/0x20."
FUN_0800e42c,Encoder_ReadPhases,"Purpose: Reads current phase A and phase B states from GPIO.","Updates internal state buffer at DAT_0800e44c."
FUN_0800f2b0,APRS_SetPTT,"Purpose: Maps APRS modem PTT state onto the GPIO/expander lines (command 0x4001).","param_1: 0=release PTT, 1=assert."
FUN_0800f354,APRS_Modem_CheckReady,"Purpose: Issues modem command 0x14 and inspects the returned status byte for busy/ready.","Returns 2 when the modem signals ready-to-send and triggers APRS_Modem_ReadStatus."
FUN_0800f380,APRS_Modem_ReadStatus,"Purpose: Fetches status payload from the external APRS/AFSK modem via command 0x42/0x22 and caches it.","Updates status buffer, stores RSSI/flags, and toggles modem lines with APRS_SetPTT."
FUN_0800f408,APRS_Modem_StartTX,"Purpose: Primes the modem for transmit, enabling PTT and writing control bytes before sending audio.","Calls APRS_SetPTT(1), queues command frames via FUN_08026fb2, and mirrors status into shared buffers."
FUN_08013618,Keypad_ScanMatrix,"Purpose: Periodically drives PC0-PC3 high and samples PD4-PD7 to decode the 5x4 keypad. CONFIRMED pins.","Uses DAT_800136d8 (GPIOC) for columns, DAT_800136dc (GPIOD) for rows, DAT_800136d0 (PE5) and DAT_800136d4 (PA12) to enable scanning."
FUN_08013c98,ADC_Read_PA1,"Purpose: Single conversion on ADC2 channel 1 (PA1) returning an 8-bit scaled value used for audio level logic.","Calls FUN_08003108(DAT_80013cd0,1,1,7) then waits on FUN_800030a4 before reading FUN_8000309e."
FUN_08013cd4,ADC_Read_PA0,"Purpose: Single conversion on ADC2 channel 0 (PA0) for battery/AGC sensing.","Same ADC2 sequence as FUN_08013c98 but with channel parameter 0."
FUN_08013f90,GPS_USART3_Init,"Purpose: Initialises the GPS UART on PC10/PC11 (USART3) for 9600 baud NMEA reception.","Remaps GPIOC pins, programs USART3 registers at 0x40004800 with divisor 0x2580 (9600 baud), enables TX/RX, and powers the port."
FUN_080153fc,LCD_SetWindowInternal,"Purpose: Stores column/row window coordinates in the LCD command staging buffer at 0x2000A1D0. CONFIRMED.","param_1: x1, param_2: x2, param_3: y1, param_4: y2. Writes to offsets 0x00-0x0A of buffer."
FUN_08015730,LCD_WritePixel,"Purpose: Writes a single RGB565 pixel to the current window position. CONFIRMED.","Bounds-checks against 320x240 (0x140 x 0xF0). Frame buffer at 0x20000BD0."
FUN_080037b0,Display_BufferFlush,"Purpose: Streams the prepared frame buffer to the LCD over the external bus while holding PC12 as chip select.","Asserts GPIOC12, primes DMA (DAT_0800396c -> 0x40020430), waits for completion, then releases the line."
FUN_0801ab04,PTT_Relay_Select,"Purpose: Controls the TX/RX relay matrix: PE13/PE12/PE14/PE7 select PTT path while PB0/PB1 drive accessory enables.","Parameter 1 chooses routing profile; toggles GPIOE via FUN_08012c3a/FUN_08012c3e and clears PB0/PB1 when idle."
FUN_0801c04c,Band_Relay_ShiftIn,"Purpose: Bit-banged serial readback of the RF relay latch using PE15/PE10/PE11.","Clears PE15 (0x8000) before clocking, pulses PE10 (0x400) and samples PE11 (0x800) via FUN_08012c26."
FUN_08020f6c,SPIFlash_CheckBusy,"Purpose: Reads SPI flash status register and checks WIP (Write In Progress) bit. CONFIRMED.","Returns 0 when flash is ready, non-zero when busy."
FUN_08020f80,SPIFlash_Erase32K,"Purpose: Erases a 32KB block using command 0x52. CONFIRMED from Ghidra.","param_1: 24-bit address. Polls status with 500us delays, timeout ~5536 iterations."
FUN_08020ff0,SPIFlash_Erase64K,"Purpose: Erases a 64KB block using command 0xD8. CONFIRMED from Ghidra.","param_1: 24-bit address. Adds 5ms initial delay before polling."
FUN_08021064,SPIFlash_EraseChip,"Purpose: Erases entire chip using command 0xC7 (199). CONFIRMED from Ghidra.","Adds 100ms initial delay before polling. Can take several seconds."
FUN_080210c0,SPIFlash_Erase4K,"Purpose: Erases a 4KB sector using command 0x20. CONFIRMED from Ghidra.","param_1: 24-bit address. Polls status with 2us delays."
FUN_08021180,SPIFlash_Read,"Purpose: Reads data from SPI flash using command 0x03. CONFIRMED from Ghidra.","param_1: 24-bit address. param_2: buffer pointer. param_3: length."
FUN_08021234,SPIFlash_WriteByte,"Purpose: Sends a single byte over the SPI flash bus.","param_1: byte to send. Uses software SPI bit-banging."
FUN_08021314,SPIFlash_PageProgram,"Purpose: Programs data to SPI flash using command 0x02.","param_1: 24-bit address. param_2: data pointer. param_3: length (max 256 per page)."
FUN_0802137c,SPIFlash_WriteEnable,"Purpose: Sends write enable command (0x06) before erase/program operations. CONFIRMED.","Required before any erase or program command."
FUN_08022384,USART_Enable,"Purpose: Enables USART peripheral by setting TE/RE bits.","param_1: USART base address. param_2: enable flags."
FUN_080226b0,UART4_Init,"Purpose: Brings up UART4 on PC10/PC11 at 115200 baud for accessory programming.","Uses FUN_0801272c with the same GPIO masks, writes 0x1C200 to UART4 (0x40004C00), and enables the channel (likely routed through the side connector)."
FUN_0800834c,Bluetooth_UART1_Init,"Purpose: Configures USART1 (PA9/PA10 at 115200 baud) and routes it to the external Bluetooth module via GPIOA remap.","Enables pins with FUN_0801272c (0x400 mask), loads 0x1C200 into USART1 (0x40013800), and sets TE/RE bits before enabling the peripheral."
FUN_08027034,LCD_WaitReady,"Purpose: Waits for LCD controller to be ready by polling status. CONFIRMED.","Loops up to 100 times with 500us delays."
FUN_0802700c,APRS_SendPacket,"Purpose: Builds and sends a 6-byte APRS control packet with command 0x12.","param_1: 16-bit parameter 1. param_2: 16-bit parameter 2."
FUN_0802717c,LCD_FillRect,"Purpose: Fills a rectangular region with a solid color. CONFIRMED.","param_1: y, param_2: x, param_3: width, param_4: height, param_5: RGB565 color."
FUN_080271c0,LCD_WriteCommand,"Purpose: Drives the 8080 bus control lines to emit a single command byte to the TFT panel. CONFIRMED.","param_1: (uint8_t) command value; manipulates GPIOD WR#/CS# via FUN_08012c3a/3e before sending."
FUN_08027220,LCD_WriteData,"Purpose: Writes one data byte to the TFT panel on the 8080 bus. CONFIRMED.","param_1: (uint8_t) data value; uses same GPIOD handshake as LCD_WriteCommand but sets D/C high."
FUN_08027280,LCD_BlitMonoBitmap,"Purpose: Blits a 1-bit-per-pixel bitmap with foreground/background colors. CONFIRMED.","param_1-4: position/size, param_5: bitmap data, param_6: bg color, param_7: fg color."
FUN_08027300,LCD_BlitRGB565,"Purpose: Blits an RGB565 pixel buffer to the display. CONFIRMED.","param_1: y, param_2: x, param_3: width, param_4: height, param_5: pixel buffer pointer."
FUN_08027354,LCD_BeginWrite,"Purpose: Sends RAMWR command (0x2C) to begin pixel data transfer. CONFIRMED.","Called before streaming pixel data."
